,YearMonth,PostalCode,CustomerClass,TotalGallons
1233,2012-07-01,78703,City of Austin,6142300
1234,2012-07-01,78703,Austin Water Utility,11800
1235,2012-07-01,78703,Commercial,16489200
1236,2012-07-01,78703,Irrigation - Commercial,3238100
1237,2012-07-01,78703,Irrigation - City of Austin,125200
1238,2012-07-01,78704,Irrigation - Commercial,7235500
1239,2012-07-01,78704,Commercial,41135800
1240,2012-07-01,78704,City of Austin,5090600
1241,2012-07-01,78704,Austin Water Utility,24400
1242,2012-07-01,78704,Irrigation - City of Austin,126100
1243,2012-07-01,78705,Irrigation - City of Austin,3500
1244,2012-07-01,78705,City of Austin,289100
1245,2012-07-01,78705,Large Volume,5817300
1246,2012-07-01,78705,Commercial,32978400
1247,2012-07-01,78705,Irrigation - Commercial,16640500
1248,2012-07-01,78712,Commercial,9768300
1249,2012-07-01,78712,Irrigation - Commercial,836900
1250,2012-07-01,78712,Irrigation - Large Volume,26943600
1251,2012-07-01,78712,Large Volume,17358700
1252,2012-07-01,78717,Irrigation - City of Austin,163400
1253,2012-07-01,78717,Irrigation - Commercial,10979900
1254,2012-07-01,78717,Commercial,6379800
1255,2012-07-01,78717,City of Austin,0
1256,2012-07-01,78719,Wholesale,1910800
1257,2012-07-01,78719,City of Austin,3894100
1258,2012-07-01,78719,Commercial,5570100
1259,2012-07-01,78719,Irrigation - City of Austin,656700
1260,2012-07-01,78719,Austin Water Utility,621200
1261,2012-07-01,78719,Irrigation - Commercial,776900
1262,2012-07-01,78721,City of Austin,2770700
1263,2012-07-01,78721,Irrigation - City of Austin,154600
1264,2012-07-01,78721,Irrigation - Commercial,920000
1265,2012-07-01,78721,Commercial,7223300
1266,2012-07-01,78721,Austin Water Utility,4600
1267,2012-07-01,78722,City of Austin,29600
1268,2012-07-01,78722,Commercial,4139700
1269,2012-07-01,78722,Irrigation - City of Austin,2264600
1270,2012-07-01,78722,Irrigation - Commercial,1436600
1271,2012-07-01,78723,Irrigation - Commercial,3401100
1272,2012-07-01,78723,Irrigation - City of Austin,242800
1273,2012-07-01,78723,Commercial,15759000
1274,2012-07-01,78723,City of Austin,4105700
1275,2012-07-01,78724,Austin Water Utility,0
1276,2012-07-01,78724,Commercial,4607900
1277,2012-07-01,78724,Irrigation - Commercial,7949500
1278,2012-07-01,78724,City of Austin,6138100
1279,2012-07-01,78724,Irrigation - City of Austin,0
1280,2012-07-01,78725,City of Austin,260700
1281,2012-07-01,78725,Irrigation - Commercial,477200
1282,2012-07-01,78725,Commercial,5683100
1283,2012-07-01,78725,Wholesale,2585200
1284,2012-07-01,78725,Large Volume,35103600
1285,2012-07-01,78725,Austin Water Utility,337800
1286,2012-07-01,78726,Austin Water Utility,0
1287,2012-07-01,78726,City of Austin,402000
1288,2012-07-01,78726,Commercial,8137500
1289,2012-07-01,78726,Irrigation - Commercial,4255300
1290,2012-07-01,78727,Commercial,15464200
1291,2012-07-01,78727,City of Austin,27700
1292,2012-07-01,78727,Irrigation - City of Austin,1000
1293,2012-07-01,78727,Irrigation - Commercial,8340400
1294,2012-07-01,78728,Large Volume,3416000
1295,2012-07-01,78728,Wholesale,48705900
1296,2012-07-01,78728,Irrigation - Commercial,3989200
1297,2012-07-01,78728,Commercial,3178300
1298,2012-07-01,78729,Irrigation - Commercial,8424200
1299,2012-07-01,78729,Wholesale,51277000
1300,2012-07-01,78729,City of Austin,14900
1301,2012-07-01,78729,Commercial,12495800
1302,2012-07-01,78729,Irrigation - City of Austin,0
1303,2012-07-01,78730,Irrigation - Commercial,4324700
1304,2012-07-01,78730,Commercial,2920200
1305,2012-07-01,78731,Austin Water Utility,0
1306,2012-07-01,78731,City of Austin,873900
1307,2012-07-01,78731,Commercial,21731500
1308,2012-07-01,78731,Irrigation - City of Austin,165600
1309,2012-07-01,78731,Irrigation - Commercial,7810200
1310,2012-07-01,78732,Commercial,754600
1311,2012-07-01,78735,Irrigation - Commercial,6783000
1312,2012-07-01,78735,Wholesale,610700
1313,2012-07-01,78735,City of Austin,247000
1314,2012-07-01,78735,Commercial,9986200
1315,2012-07-01,78735,Austin Water Utility,0
1316,2012-07-01,78735,Large Volume,18939000
1317,2012-07-01,78736,Commercial,1725500
1318,2012-07-01,78736,Irrigation - Commercial,395800
1319,2012-07-01,78737,Commercial,440100
1320,2012-07-01,78737,Irrigation - Commercial,176200
1321,2012-07-01,78737,Wholesale,601500
1322,2012-07-01,78739,City of Austin,33000
1323,2012-07-01,78739,Commercial,1905800
1324,2012-07-01,78739,Austin Water Utility,0
1325,2012-07-01,78739,Irrigation - City of Austin,52500
1326,2012-07-01,78739,Wholesale,27353200
1327,2012-07-01,78739,Irrigation - Commercial,8368900
1328,2012-07-01,78741,Austin Water Utility,40300
1329,2012-07-01,78741,City of Austin,3193300
1330,2012-07-01,78741,Irrigation - City of Austin,4182900
1331,2012-07-01,78741,Irrigation - Commercial,4682300
1332,2012-07-01,78741,Commercial,20575100
1333,2012-07-01,78741,Large Volume,40270600
1334,2012-07-01,78742,Commercial,540300
1335,2012-07-01,78742,Irrigation - Commercial,44700
1336,2012-07-01,78744,Austin Water Utility,551100
1337,2012-07-01,78744,Irrigation - City of Austin,2935800
1338,2012-07-01,78744,City of Austin,611400
1339,2012-07-01,78744,Commercial,29427300
1340,2012-07-01,78744,Irrigation - Commercial,9190400
1341,2012-07-01,78744,Wholesale,1625000
1342,2012-07-01,78745,Wholesale,8962200
1343,2012-07-01,78745,City of Austin,1842000
1344,2012-07-01,78745,Irrigation - Commercial,8434600
1345,2012-07-01,78745,Irrigation - City of Austin,35500
1346,2012-07-01,78745,Commercial,30294600
1347,2012-07-01,78746,Irrigation - Commercial,6618300
1348,2012-07-01,78746,Commercial,16702700
1349,2012-07-01,78746,Irrigation - City of Austin,87000
1350,2012-07-01,78746,Wholesale,161645800
1351,2012-07-01,78746,City of Austin,1867100
1352,2012-07-01,78747,Wholesale,3513700
1353,2012-07-01,78747,Austin Water Utility,1075400
1354,2012-07-01,78747,Commercial,1536400
1355,2012-07-01,78747,Irrigation - Commercial,958300
1356,2012-07-01,78748,Wholesale,675300
1357,2012-07-01,78748,Irrigation - Commercial,7680700
1358,2012-07-01,78748,City of Austin,526700
1359,2012-07-01,78748,Commercial,12227100
1360,2012-07-01,78748,Irrigation - City of Austin,115300
1361,2012-07-01,78749,Commercial,12692000
1362,2012-07-01,78749,Irrigation - Commercial,11740600
1363,2012-07-01,78749,City of Austin,241400
1364,2012-07-01,78749,Wholesale,3136600
1365,2012-07-01,78749,Irrigation - City of Austin,26300
1366,2012-07-01,78750,City of Austin,288500
1367,2012-07-01,78750,Irrigation - City of Austin,143600
1368,2012-07-01,78750,Austin Water Utility,275100
1369,2012-07-01,78750,Commercial,11355000
1370,2012-07-01,78750,Irrigation - Commercial,8811300
1371,2012-07-01,78751,Irrigation - Commercial,1252600
1372,2012-07-01,78751,City of Austin,3025700
1373,2012-07-01,78751,Commercial,20374900
1374,2012-07-01,78751,Irrigation - City of Austin,1870600
1375,2012-07-01,78752,City of Austin,52100
1376,2012-07-01,78752,Irrigation - City of Austin,0
1377,2012-07-01,78752,Irrigation - Commercial,3925700
1378,2012-07-01,78752,Commercial,27206800
1379,2012-07-01,78753,City of Austin,22600
1380,2012-07-01,78753,Commercial,32326400
1381,2012-07-01,78753,Irrigation - Commercial,12861400
1382,2012-07-01,78753,Austin Water Utility,0
1383,2012-07-01,78753,Irrigation - City of Austin,626000
1384,2012-07-01,78754,Commercial,17003400
1385,2012-07-01,78754,Irrigation - Commercial,8399200
1386,2012-07-01,78754,Irrigation - City of Austin,0
1387,2012-07-01,78754,Large Volume,146072800
1388,2012-07-01,78754,City of Austin,396900
1389,2012-07-01,78754,Austin Water Utility,48200
1390,2012-07-01,78756,Commercial,12136100
1391,2012-07-01,78756,Irrigation - Commercial,907900
1392,2012-07-01,78756,Austin Water Utility,13200
1393,2012-07-01,78756,City of Austin,347100
1394,2012-07-01,78756,Irrigation - City of Austin,0
1395,2012-07-01,78757,Irrigation - Commercial,1310700
1396,2012-07-01,78757,Irrigation - City of Austin,34500
1397,2012-07-01,78757,City of Austin,1403100
1398,2012-07-01,78757,Commercial,20186200
1399,2012-07-01,78758,Irrigation - City of Austin,6394300
1400,2012-07-01,78758,Irrigation - Commercial,18283400
1401,2012-07-01,78758,City of Austin,1581600
1402,2012-07-01,78758,Commercial,55517100
1403,2012-07-01,78759,Irrigation - Commercial,21527900
1404,2012-07-01,78759,Austin Water Utility,100
1405,2012-07-01,78759,City of Austin,85900
1406,2012-07-01,78759,Commercial,43627100
1407,2012-07-01,78759,Irrigation - City of Austin,2100
1408,2012-08-01,78613,Commercial,3568000
1409,2012-08-01,78613,Irrigation - Commercial,3131800
1410,2012-08-01,78617,Irrigation - Commercial,1005400
1411,2012-08-01,78617,Commercial,10393600
1412,2012-08-01,78617,Irrigation - City of Austin,0
1413,2012-08-01,78617,City of Austin,17708500
1414,2012-08-01,78617,Austin Water Utility,119000
1415,2012-08-01,78652,Commercial,417900
1416,2012-08-01,78653,Irrigation - Commercial,2505900
1417,2012-08-01,78653,Wholesale,0
1418,2012-08-01,78653,Commercial,3654700
1419,2012-08-01,78660,Commercial,4580400
1420,2012-08-01,78660,Wholesale,30430400
1421,2012-08-01,78660,Austin Water Utility,600
1422,2012-08-01,78660,Irrigation - Commercial,4134600
1423,2012-08-01,78701,Commercial,88476000
1424,2012-08-01,78701,Irrigation - Commercial,5199600
1425,2012-08-01,78701,Irrigation - City of Austin,1027500
1426,2012-08-01,78701,Austin Water Utility,209000
1427,2012-08-01,78701,Large Volume,1377200
1428,2012-08-01,78701,City of Austin,12554000
1429,2012-08-01,78702,City of Austin,4470100
1430,2012-08-01,78702,Irrigation - City of Austin,732300
1431,2012-08-01,78702,Irrigation - Commercial,2764300
1432,2012-08-01,78702,Austin Water Utility,66000
1433,2012-08-01,78702,Commercial,27534100
1434,2012-08-01,78703,Commercial,16575500
1435,2012-08-01,78703,Irrigation - City of Austin,140200
1436,2012-08-01,78703,Irrigation - Commercial,3223200
1437,2012-08-01,78703,Austin Water Utility,10600
1438,2012-08-01,78703,City of Austin,6848900
1439,2012-08-01,78704,City of Austin,2926900
1440,2012-08-01,78704,Irrigation - City of Austin,168300
1441,2012-08-01,78704,Austin Water Utility,14900
1442,2012-08-01,78704,Irrigation - Commercial,10497300
1443,2012-08-01,78704,Commercial,43914900
1444,2012-08-01,78705,Irrigation - City of Austin,2800
1445,2012-08-01,78705,Irrigation - Commercial,16247300
1446,2012-08-01,78705,Large Volume,5273600
1447,2012-08-01,78705,Commercial,34912300
1448,2012-08-01,78705,City of Austin,283600
1449,2012-08-01,78712,Irrigation - Commercial,860900
1450,2012-08-01,78712,Irrigation - Large Volume,33316100
1451,2012-08-01,78712,Commercial,10645700
1452,2012-08-01,78712,Large Volume,12949300
1453,2012-08-01,78717,Irrigation - City of Austin,8600
1454,2012-08-01,78717,Commercial,6665900
1455,2012-08-01,78717,Irrigation - Commercial,13384200
1456,2012-08-01,78717,City of Austin,0
1457,2012-08-01,78719,Irrigation - Commercial,959600
1458,2012-08-01,78719,Austin Water Utility,725800
1459,2012-08-01,78719,Commercial,5435900
1460,2012-08-01,78719,Irrigation - City of Austin,574900
1461,2012-08-01,78719,Wholesale,1612800
1462,2012-08-01,78719,City of Austin,3892700
1463,2012-08-01,78721,Irrigation - City of Austin,222000
1464,2012-08-01,78721,Irrigation - Commercial,1109000
1465,2012-08-01,78721,Commercial,9055200
1466,2012-08-01,78721,Austin Water Utility,4700
1467,2012-08-01,78721,City of Austin,3469500
1468,2012-08-01,78722,Commercial,4463800
1469,2012-08-01,78722,City of Austin,25600
1470,2012-08-01,78722,Irrigation - City of Austin,2011400
1471,2012-08-01,78722,Irrigation - Commercial,1590200
1472,2012-08-01,78723,Irrigation - Commercial,3597300
1473,2012-08-01,78723,City of Austin,4333500
1474,2012-08-01,78723,Commercial,17176400
1475,2012-08-01,78723,Irrigation - City of Austin,183600
1476,2012-08-01,78724,Irrigation - Commercial,7461100
1477,2012-08-01,78724,Irrigation - City of Austin,0
1478,2012-08-01,78724,Austin Water Utility,0
1479,2012-08-01,78724,Commercial,5473800
1480,2012-08-01,78724,City of Austin,8019100
1481,2012-08-01,78725,Commercial,6164300
1482,2012-08-01,78725,Irrigation - Commercial,576500
1483,2012-08-01,78725,City of Austin,271600
1484,2012-08-01,78725,Wholesale,1728100
1485,2012-08-01,78725,Austin Water Utility,193500
1486,2012-08-01,78725,Large Volume,33271300
1487,2012-08-01,78726,Irrigation - Commercial,6115100
1488,2012-08-01,78726,Commercial,9701000
1489,2012-08-01,78726,Austin Water Utility,0
1490,2012-08-01,78726,City of Austin,451000
1491,2012-08-01,78727,Irrigation - Commercial,14442400
1492,2012-08-01,78727,Irrigation - City of Austin,2700
1493,2012-08-01,78727,City of Austin,31200
1494,2012-08-01,78727,Commercial,18781900
1495,2012-08-01,78728,Wholesale,45473900
1496,2012-08-01,78728,Commercial,3789000
1497,2012-08-01,78728,Irrigation - Commercial,6930900
1498,2012-08-01,78728,Large Volume,8157000
1499,2012-08-01,78729,City of Austin,17100
1500,2012-08-01,78729,Commercial,14277700
1501,2012-08-01,78729,Irrigation - City of Austin,0
1502,2012-08-01,78729,Wholesale,38923000
1503,2012-08-01,78729,Irrigation - Commercial,8337500
1504,2012-08-01,78730,Irrigation - Commercial,6102300
1505,2012-08-01,78730,Commercial,3383700
1506,2012-08-01,78731,Austin Water Utility,0
1507,2012-08-01,78731,Irrigation - City of Austin,142300
1508,2012-08-01,78731,City of Austin,601900
1509,2012-08-01,78731,Commercial,25549000
1510,2012-08-01,78731,Irrigation - Commercial,9209400
1511,2012-08-01,78732,Commercial,664300
1512,2012-08-01,78735,Austin Water Utility,0
1513,2012-08-01,78735,Irrigation - Commercial,6968300
1514,2012-08-01,78735,Large Volume,21799000
1515,2012-08-01,78735,City of Austin,261000
1516,2012-08-01,78735,Wholesale,492400
1517,2012-08-01,78735,Commercial,9658900
1518,2012-08-01,78736,Commercial,1751200
1519,2012-08-01,78736,Irrigation - Commercial,470800
1520,2012-08-01,78737,Commercial,521200
1521,2012-08-01,78737,Wholesale,570900
1522,2012-08-01,78737,Irrigation - Commercial,399800
1523,2012-08-01,78739,Irrigation - City of Austin,39200
1524,2012-08-01,78739,Austin Water Utility,100
1525,2012-08-01,78739,City of Austin,32400
1526,2012-08-01,78739,Irrigation - Commercial,6882300
1527,2012-08-01,78739,Commercial,1858400
1528,2012-08-01,78739,Wholesale,19778700
1529,2012-08-01,78741,Austin Water Utility,17900
1530,2012-08-01,78741,Large Volume,42659300
1531,2012-08-01,78741,City of Austin,3829200
1532,2012-08-01,78741,Irrigation - City of Austin,4034900
1533,2012-08-01,78741,Irrigation - Commercial,6248500
1534,2012-08-01,78741,Commercial,20475300
1535,2012-08-01,78742,Irrigation - Commercial,66000
1536,2012-08-01,78742,Commercial,569100
1537,2012-08-01,78744,City of Austin,1067800
1538,2012-08-01,78744,Irrigation - Commercial,10734600
1539,2012-08-01,78744,Austin Water Utility,446800
1540,2012-08-01,78744,Commercial,29942800
1541,2012-08-01,78744,Irrigation - City of Austin,2594100
1542,2012-08-01,78744,Wholesale,2076000
1543,2012-08-01,78745,City of Austin,1602700
1544,2012-08-01,78745,Irrigation - Commercial,8025400
1545,2012-08-01,78745,Commercial,30770000
1546,2012-08-01,78745,Wholesale,9132500
1547,2012-08-01,78745,Irrigation - City of Austin,36000
1548,2012-08-01,78746,Irrigation - City of Austin,904500
1549,2012-08-01,78746,Commercial,15316400
1550,2012-08-01,78746,City of Austin,2213000
1551,2012-08-01,78746,Wholesale,135655600
1552,2012-08-01,78746,Irrigation - Commercial,6961300
1553,2012-08-01,78747,Austin Water Utility,1068900
1554,2012-08-01,78747,Commercial,1405700
1555,2012-08-01,78747,Irrigation - Commercial,1345600
1556,2012-08-01,78747,Wholesale,2370400
1557,2012-08-01,78748,Irrigation - City of Austin,119500
1558,2012-08-01,78748,Commercial,12465700
1559,2012-08-01,78748,Irrigation - Commercial,8628400
1560,2012-08-01,78748,Wholesale,653700
1561,2012-08-01,78748,City of Austin,483000
1562,2012-08-01,78749,Wholesale,3263100
1563,2012-08-01,78749,Irrigation - Commercial,12787600
1564,2012-08-01,78749,Irrigation - City of Austin,23000
1565,2012-08-01,78749,City of Austin,221400
1566,2012-08-01,78749,Commercial,12921500
1567,2012-08-01,78750,Irrigation - Commercial,9675100
1568,2012-08-01,78750,Austin Water Utility,299000
1569,2012-08-01,78750,Commercial,13315500
1570,2012-08-01,78750,City of Austin,410400
1571,2012-08-01,78750,Irrigation - City of Austin,113800
1572,2012-08-01,78751,Commercial,20738900
1573,2012-08-01,78751,Irrigation - City of Austin,2727500
1574,2012-08-01,78751,Irrigation - Commercial,1141100
1575,2012-08-01,78751,City of Austin,2081800
1576,2012-08-01,78752,Irrigation - Commercial,4827600
1577,2012-08-01,78752,Commercial,29387900
1578,2012-08-01,78752,City of Austin,142200
1579,2012-08-01,78752,Irrigation - City of Austin,0
1580,2012-08-01,78753,Irrigation - City of Austin,337000
1581,2012-08-01,78753,Irrigation - Commercial,17592100
1582,2012-08-01,78753,Austin Water Utility,0
1583,2012-08-01,78753,City of Austin,25000
1584,2012-08-01,78753,Commercial,38793800
1585,2012-08-01,78754,Austin Water Utility,92800
1586,2012-08-01,78754,Commercial,19145400
1587,2012-08-01,78754,Irrigation - Commercial,11264700
1588,2012-08-01,78754,Large Volume,139571500
1589,2012-08-01,78754,Irrigation - City of Austin,0
1590,2012-08-01,78754,City of Austin,439200
1591,2012-08-01,78756,Austin Water Utility,30800
1592,2012-08-01,78756,Commercial,11900800
1593,2012-08-01,78756,City of Austin,290000
1594,2012-08-01,78756,Irrigation - City of Austin,0
1595,2012-08-01,78756,Irrigation - Commercial,930200
1596,2012-08-01,78757,Irrigation - Commercial,1461900
1597,2012-08-01,78757,Irrigation - City of Austin,27700
1598,2012-08-01,78757,City of Austin,1243100
1599,2012-08-01,78757,Commercial,21470600
1600,2012-08-01,78758,Irrigation - Commercial,24269700
1601,2012-08-01,78758,Irrigation - City of Austin,6294500
1602,2012-08-01,78758,Commercial,66583000
1603,2012-08-01,78758,City of Austin,1496500
1604,2012-08-01,78759,Irrigation - Commercial,21340100
1605,2012-08-01,78759,Austin Water Utility,0
1606,2012-08-01,78759,City of Austin,96100
1607,2012-08-01,78759,Commercial,48071800
1608,2012-08-01,78759,Irrigation - City of Austin,2400
1609,2012-09-01,78613,Irrigation - Commercial,3194100
1610,2012-09-01,78613,Commercial,3246100
1611,2012-09-01,78617,Austin Water Utility,86400
1612,2012-09-01,78617,City of Austin,14541200
1613,2012-09-01,78617,Commercial,10828600
1614,2012-09-01,78617,Irrigation - City of Austin,0
1615,2012-09-01,78617,Irrigation - Commercial,1292500
1616,2012-09-01,78652,Commercial,273900
1617,2012-09-01,78653,Wholesale,0
1618,2012-09-01,78653,Irrigation - Commercial,2263200
1619,2012-09-01,78653,Commercial,2599100
1620,2012-09-01,78660,Wholesale,40525800
1621,2012-09-01,78660,Commercial,3960000
1622,2012-09-01,78660,Austin Water Utility,800
1623,2012-09-01,78660,Irrigation - Commercial,4284000
1624,2012-09-01,78701,Irrigation - Commercial,6148400
1625,2012-09-01,78701,City of Austin,11885900
1626,2012-09-01,78701,Large Volume,1895800
1627,2012-09-01,78701,Commercial,94036900
1628,2012-09-01,78701,Austin Water Utility,351000
1629,2012-09-01,78701,Irrigation - City of Austin,1099700
1630,2012-09-01,78702,Commercial,28311400
1631,2012-09-01,78702,Austin Water Utility,43000
1632,2012-09-01,78702,Irrigation - City of Austin,1245200
1633,2012-09-01,78702,Irrigation - Commercial,2525400
1634,2012-09-01,78702,City of Austin,3701500
1635,2012-09-01,78703,City of Austin,5449400
1636,2012-09-01,78703,Irrigation - City of Austin,178100
1637,2012-09-01,78703,Commercial,18823500
1638,2012-09-01,78703,Austin Water Utility,11000
1639,2012-09-01,78703,Irrigation - Commercial,3548100
1640,2012-09-01,78704,Irrigation - Commercial,9809100
1641,2012-09-01,78704,City of Austin,3534600
1642,2012-09-01,78704,Irrigation - City of Austin,371800
1643,2012-09-01,78704,Austin Water Utility,32200
1644,2012-09-01,78704,Commercial,44309000
1645,2012-09-01,78705,Commercial,37582100
1646,2012-09-01,78705,Irrigation - City of Austin,2100
1647,2012-09-01,78705,City of Austin,259900
1648,2012-09-01,78705,Large Volume,6730600
1649,2012-09-01,78705,Irrigation - Commercial,18085600
1650,2012-09-01,78712,Commercial,10975900
1651,2012-09-01,78712,Irrigation - Commercial,814000
1652,2012-09-01,78712,Large Volume,18794900
1653,2012-09-01,78712,Irrigation - Large Volume,6579300
1654,2012-09-01,78717,Commercial,7082300
1655,2012-09-01,78717,City of Austin,0
1656,2012-09-01,78717,Irrigation - City of Austin,30800
1657,2012-09-01,78717,Irrigation - Commercial,12098300
1658,2012-09-01,78719,Austin Water Utility,700700
1659,2012-09-01,78719,Irrigation - Commercial,1215200
1660,2012-09-01,78719,City of Austin,3996200
1661,2012-09-01,78719,Irrigation - City of Austin,343400
1662,2012-09-01,78719,Commercial,4302900
1663,2012-09-01,78719,Wholesale,2770200
1664,2012-09-01,78721,Commercial,8618900
1665,2012-09-01,78721,Irrigation - Commercial,1198900
1666,2012-09-01,78721,Irrigation - City of Austin,125700
1667,2012-09-01,78721,City of Austin,1274700
1668,2012-09-01,78721,Austin Water Utility,3400
1669,2012-09-01,78722,Commercial,4276300
1670,2012-09-01,78722,Irrigation - Commercial,1664200
1671,2012-09-01,78722,Irrigation - City of Austin,978900
1672,2012-09-01,78722,City of Austin,19000
1673,2012-09-01,78723,Irrigation - Commercial,4102300
1674,2012-09-01,78723,City of Austin,4500500
1675,2012-09-01,78723,Commercial,16022000
1676,2012-09-01,78723,Irrigation - City of Austin,226600
1677,2012-09-01,78724,Austin Water Utility,0
1678,2012-09-01,78724,City of Austin,7371200
1679,2012-09-01,78724,Commercial,6881800
1680,2012-09-01,78724,Irrigation - Commercial,6901600
1681,2012-09-01,78724,Irrigation - City of Austin,0
1682,2012-09-01,78725,Irrigation - Commercial,635700
1683,2012-09-01,78725,Commercial,5885400
1684,2012-09-01,78725,Large Volume,33840000
1685,2012-09-01,78725,City of Austin,235600
1686,2012-09-01,78725,Austin Water Utility,539500
1687,2012-09-01,78725,Wholesale,1478000
1688,2012-09-01,78726,Austin Water Utility,0
1689,2012-09-01,78726,Irrigation - Commercial,5075300
1690,2012-09-01,78726,Commercial,8855700
1691,2012-09-01,78726,City of Austin,418000
1692,2012-09-01,78727,Commercial,15659300
1693,2012-09-01,78727,Irrigation - City of Austin,1800
1694,2012-09-01,78727,Irrigation - Commercial,12576400
1695,2012-09-01,78727,City of Austin,35800
1696,2012-09-01,78728,Commercial,3146000
1697,2012-09-01,78728,Irrigation - Commercial,5425900
1698,2012-09-01,78728,Large Volume,11400000
1699,2012-09-01,78728,Wholesale,55909200
1700,2012-09-01,78729,Commercial,13639000
1701,2012-09-01,78729,Irrigation - Commercial,9573800
1702,2012-09-01,78729,Wholesale,54924500
1703,2012-09-01,78729,Irrigation - City of Austin,0
1704,2012-09-01,78729,City of Austin,12600
1705,2012-09-01,78730,Commercial,2978400
1706,2012-09-01,78730,Irrigation - Commercial,5132600
1707,2012-09-01,78731,Austin Water Utility,0
1708,2012-09-01,78731,City of Austin,94000
1709,2012-09-01,78731,Commercial,22698800
1710,2012-09-01,78731,Irrigation - Commercial,10712500
1711,2012-09-01,78731,Irrigation - City of Austin,211300
1712,2012-09-01,78732,Commercial,5985500
1713,2012-09-01,78735,Large Volume,23138000
1714,2012-09-01,78735,Wholesale,550600
1715,2012-09-01,78735,City of Austin,245200
1716,2012-09-01,78735,Austin Water Utility,0
1717,2012-09-01,78735,Commercial,10752800
1718,2012-09-01,78735,Irrigation - Commercial,8860800
1719,2012-09-01,78736,Irrigation - Commercial,492300
1720,2012-09-01,78736,Commercial,1754500
1721,2012-09-01,78737,Commercial,444300
1722,2012-09-01,78737,Irrigation - Commercial,405300
1723,2012-09-01,78737,Wholesale,624100
1724,2012-09-01,78739,Irrigation - City of Austin,63800
1725,2012-09-01,78739,City of Austin,159400
1726,2012-09-01,78739,Commercial,2409200
1727,2012-09-01,78739,Irrigation - Commercial,11839900
1728,2012-09-01,78739,Austin Water Utility,200
1729,2012-09-01,78739,Wholesale,31217700
1730,2012-09-01,78741,City of Austin,3586500
1731,2012-09-01,78741,Austin Water Utility,61900
1732,2012-09-01,78741,Irrigation - City of Austin,5540300
1733,2012-09-01,78741,Irrigation - Commercial,6524600
1734,2012-09-01,78741,Large Volume,40695000
1735,2012-09-01,78741,Commercial,20140900
1736,2012-09-01,78742,Irrigation - Commercial,48300
1737,2012-09-01,78742,Commercial,517500
1738,2012-09-01,78744,Commercial,31912000
1739,2012-09-01,78744,Irrigation - Commercial,15044900
1740,2012-09-01,78744,Wholesale,2715000
1741,2012-09-01,78744,Austin Water Utility,860200
1742,2012-09-01,78744,City of Austin,627600
1743,2012-09-01,78744,Irrigation - City of Austin,2642100
1744,2012-09-01,78745,Irrigation - City of Austin,72100
1745,2012-09-01,78745,Irrigation - Commercial,8496600
1746,2012-09-01,78745,City of Austin,1264200
1747,2012-09-01,78745,Commercial,32003800
1748,2012-09-01,78745,Wholesale,9224100
1749,2012-09-01,78746,Irrigation - Commercial,9119500
1750,2012-09-01,78746,Wholesale,194114300
1751,2012-09-01,78746,Commercial,17593700
1752,2012-09-01,78746,City of Austin,2133900
1753,2012-09-01,78746,Irrigation - City of Austin,1650700
1754,2012-09-01,78747,Wholesale,3043900
1755,2012-09-01,78747,Irrigation - Commercial,1422600
1756,2012-09-01,78747,Commercial,1335400
1757,2012-09-01,78747,Austin Water Utility,1192400
1758,2012-09-01,78748,Irrigation - City of Austin,116000
1759,2012-09-01,78748,Commercial,16261700
1760,2012-09-01,78748,City of Austin,357700
1761,2012-09-01,78748,Wholesale,1041300
1762,2012-09-01,78748,Irrigation - Commercial,8604400
1763,2012-09-01,78749,Irrigation - Commercial,14220900
1764,2012-09-01,78749,City of Austin,169200
1765,2012-09-01,78749,Commercial,14467200
1766,2012-09-01,78749,Wholesale,3755500
1767,2012-09-01,78749,Irrigation - City of Austin,70100
1768,2012-09-01,78750,Commercial,12164600
1769,2012-09-01,78750,Austin Water Utility,331700
1770,2012-09-01,78750,City of Austin,728300
1771,2012-09-01,78750,Irrigation - City of Austin,140200
1772,2012-09-01,78750,Irrigation - Commercial,11829800
1773,2012-09-01,78751,Commercial,21457300
1774,2012-09-01,78751,City of Austin,1637000
1775,2012-09-01,78751,Irrigation - Commercial,1026100
1776,2012-09-01,78751,Irrigation - City of Austin,792600
1777,2012-09-01,78752,Irrigation - Commercial,5186600
1778,2012-09-01,78752,City of Austin,194200
1779,2012-09-01,78752,Commercial,29013000
1780,2012-09-01,78752,Irrigation - City of Austin,0
1781,2012-09-01,78753,City of Austin,22100
1782,2012-09-01,78753,Irrigation - Commercial,12899200
1783,2012-09-01,78753,Commercial,34136900
1784,2012-09-01,78753,Irrigation - City of Austin,295100
1785,2012-09-01,78753,Austin Water Utility,0
1786,2012-09-01,78754,Irrigation - City of Austin,0
1787,2012-09-01,78754,Irrigation - Commercial,11652900
1788,2012-09-01,78754,Commercial,16812600
1789,2012-09-01,78754,Large Volume,123648100
1790,2012-09-01,78754,Austin Water Utility,56700
1791,2012-09-01,78754,City of Austin,286000
1792,2012-09-01,78756,Irrigation - Commercial,986500
1793,2012-09-01,78756,City of Austin,276000
1794,2012-09-01,78756,Commercial,11585400
1795,2012-09-01,78756,Austin Water Utility,147400
1796,2012-09-01,78756,Irrigation - City of Austin,0
1797,2012-09-01,78757,Irrigation - City of Austin,60200
1798,2012-09-01,78757,Irrigation - Commercial,1346400
