,YearMonth,PostalCode,CustomerClass,TotalGallons
118,2012-01-01,78739,Commercial,1557200
119,2012-01-01,78739,Austin Water Utility,100
120,2012-01-01,78739,Irrigation - City of Austin,0
121,2012-01-01,78739,Wholesale,10531500
122,2012-01-01,78741,City of Austin,295400
123,2012-01-01,78741,Irrigation - City of Austin,266200
124,2012-01-01,78741,Irrigation - Commercial,2213600
125,2012-01-01,78741,Austin Water Utility,34000
126,2012-01-01,78741,Large Volume,31206300
127,2012-01-01,78741,Commercial,14138600
128,2012-01-01,78742,Commercial,406500
129,2012-01-01,78742,Irrigation - Commercial,39900
130,2012-01-01,78744,City of Austin,989100
131,2012-01-01,78744,Irrigation - City of Austin,848300
132,2012-01-01,78744,Austin Water Utility,355000
133,2012-01-01,78744,Commercial,21579500
134,2012-01-01,78744,Wholesale,1904000
135,2012-01-01,78744,Irrigation - Commercial,3558900
136,2012-01-01,78745,Irrigation - City of Austin,100
137,2012-01-01,78745,Commercial,25919800
138,2012-01-01,78745,City of Austin,137100
139,2012-01-01,78745,Irrigation - Commercial,3805900
140,2012-01-01,78745,Wholesale,4659400
141,2012-01-01,78746,City of Austin,1249200
142,2012-01-01,78746,Irrigation - City of Austin,395800
143,2012-01-01,78746,Commercial,10876500
144,2012-01-01,78746,Irrigation - Commercial,1990700
145,2012-01-01,78746,Wholesale,67229800
146,2012-01-01,78747,Commercial,1004700
147,2012-01-01,78747,Wholesale,2038900
148,2012-01-01,78747,Irrigation - Commercial,721800
149,2012-01-01,78748,Irrigation - Commercial,3030200
150,2012-01-01,78748,Irrigation - City of Austin,29100
151,2012-01-01,78748,Wholesale,537400
152,2012-01-01,78748,City of Austin,113900
153,2012-01-01,78748,Commercial,10701000
154,2012-01-01,78749,Irrigation - City of Austin,40200
155,2012-01-01,78749,Irrigation - Commercial,4608900
156,2012-01-01,78749,City of Austin,40900
157,2012-01-01,78749,Commercial,9361400
158,2012-01-01,78749,Wholesale,2781500
159,2012-01-01,78750,Commercial,8068200
160,2012-01-01,78750,Irrigation - City of Austin,74800
161,2012-01-01,78750,Austin Water Utility,739500
162,2012-01-01,78750,Irrigation - Commercial,3276000
163,2012-01-01,78750,City of Austin,247900
164,2012-01-01,78751,Irrigation - City of Austin,680600
165,2012-01-01,78751,City of Austin,39000
166,2012-01-01,78751,Commercial,13897400
167,2012-01-01,78751,Irrigation - Commercial,443900
168,2012-01-01,78752,City of Austin,93600
169,2012-01-01,78752,Commercial,21354300
170,2012-01-01,78752,Irrigation - City of Austin,0
171,2012-01-01,78752,Irrigation - Commercial,1978500
172,2012-01-01,78753,Commercial,32658300
173,2012-01-01,78753,Austin Water Utility,0
174,2012-01-01,78753,Irrigation - City of Austin,366900
175,2012-01-01,78753,City of Austin,21700
176,2012-01-01,78753,Irrigation - Commercial,5284600
177,2012-01-01,78754,Austin Water Utility,96100
178,2012-01-01,78754,Commercial,10519200
179,2012-01-01,78754,Large Volume,121229000
180,2012-01-01,78754,City of Austin,204300
181,2012-01-01,78754,Irrigation - City of Austin,0
182,2012-01-01,78754,Irrigation - Commercial,3333500
183,2012-01-01,78756,Irrigation - City of Austin,0
184,2012-01-01,78756,Irrigation - Commercial,290100
185,2012-01-01,78756,Commercial,7903700
186,2012-01-01,78756,City of Austin,20300
187,2012-01-01,78756,Austin Water Utility,65200
188,2012-01-01,78757,Irrigation - City of Austin,0
189,2012-01-01,78757,Commercial,16988700
190,2012-01-01,78757,Irrigation - Commercial,770100
191,2012-01-01,78757,City of Austin,120400
192,2012-01-01,78758,City of Austin,612700
193,2012-01-01,78758,Irrigation - Commercial,4948100
194,2012-01-01,78758,Irrigation - City of Austin,2140300
195,2012-01-01,78758,Commercial,45491000
196,2012-01-01,78759,Austin Water Utility,0
197,2012-01-01,78759,Irrigation - Commercial,6170600
198,2012-01-01,78759,City of Austin,18000
199,2012-01-01,78759,Irrigation - City of Austin,0
200,2012-01-01,78759,Commercial,31550200
201,2012-02-01,78613,Irrigation - Commercial,854700
202,2012-02-01,78613,Commercial,2296300
203,2012-02-01,78617,Austin Water Utility,433500
204,2012-02-01,78617,City of Austin,3046600
205,2012-02-01,78617,Commercial,9590700
206,2012-02-01,78617,Irrigation - Commercial,310900
207,2012-02-01,78617,Irrigation - City of Austin,0
208,2012-02-01,78652,Commercial,139700
209,2012-02-01,78653,Irrigation - Commercial,30900
210,2012-02-01,78653,Commercial,218300
211,2012-02-01,78653,Wholesale,0
212,2012-02-01,78660,Commercial,3426900
213,2012-02-01,78660,Irrigation - Commercial,1125000
214,2012-02-01,78660,Wholesale,23291000
215,2012-02-01,78660,Austin Water Utility,600
216,2012-02-01,78701,Austin Water Utility,90000
217,2012-02-01,78701,Commercial,58558900
218,2012-02-01,78701,Large Volume,1523300
219,2012-02-01,78701,Irrigation - Commercial,816300
220,2012-02-01,78701,City of Austin,4345400
221,2012-02-01,78701,Irrigation - City of Austin,344000
222,2012-02-01,78702,Commercial,22658300
223,2012-02-01,78702,Irrigation - Commercial,1305100
224,2012-02-01,78702,Austin Water Utility,56000
225,2012-02-01,78702,Irrigation - City of Austin,406300
226,2012-02-01,78702,City of Austin,546000
227,2012-02-01,78703,Austin Water Utility,9700
228,2012-02-01,78703,Commercial,14481500
229,2012-02-01,78703,City of Austin,756400
230,2012-02-01,78703,Irrigation - Commercial,744600
231,2012-02-01,78703,Irrigation - City of Austin,106000
232,2012-02-01,78704,Austin Water Utility,43300
233,2012-02-01,78704,Irrigation - City of Austin,65600
234,2012-02-01,78704,City of Austin,2251200
235,2012-02-01,78704,Commercial,36131100
236,2012-02-01,78704,Irrigation - Commercial,1988300
237,2012-02-01,78705,Commercial,27305800
238,2012-02-01,78705,Large Volume,3073400
239,2012-02-01,78705,Irrigation - Commercial,3404800
240,2012-02-01,78705,City of Austin,103000
241,2012-02-01,78705,Irrigation - City of Austin,400
242,2012-02-01,78712,Irrigation - Commercial,514400
243,2012-02-01,78712,Irrigation - Large Volume,14795400
244,2012-02-01,78712,Commercial,4397300
245,2012-02-01,78712,Large Volume,8461700
246,2012-02-01,78717,Irrigation - Commercial,2625300
247,2012-02-01,78717,City of Austin,0
248,2012-02-01,78717,Irrigation - City of Austin,0
249,2012-02-01,78717,Commercial,3761700
250,2012-02-01,78719,City of Austin,2548100
251,2012-02-01,78719,Irrigation - City of Austin,161300
252,2012-02-01,78719,Irrigation - Commercial,351200
253,2012-02-01,78719,Wholesale,1344300
254,2012-02-01,78719,Austin Water Utility,419500
255,2012-02-01,78719,Commercial,3028500
256,2012-02-01,78721,City of Austin,163700
257,2012-02-01,78721,Irrigation - Commercial,190100
258,2012-02-01,78721,Austin Water Utility,2900
259,2012-02-01,78721,Commercial,6312900
260,2012-02-01,78721,Irrigation - City of Austin,109700
261,2012-02-01,78722,Irrigation - Commercial,308000
262,2012-02-01,78722,City of Austin,17500
263,2012-02-01,78722,Commercial,3989400
264,2012-02-01,78722,Irrigation - City of Austin,910400
265,2012-02-01,78723,Austin Water Utility,0
266,2012-02-01,78723,Irrigation - Commercial,2856500
267,2012-02-01,78723,Irrigation - City of Austin,36000
268,2012-02-01,78723,City of Austin,3665200
269,2012-02-01,78723,Commercial,12834800
270,2012-02-01,78724,Austin Water Utility,0
271,2012-02-01,78724,City of Austin,4791900
272,2012-02-01,78724,Irrigation - City of Austin,0
273,2012-02-01,78724,Irrigation - Commercial,1821300
274,2012-02-01,78724,Commercial,3624800
275,2012-02-01,78725,City of Austin,26000
276,2012-02-01,78725,Wholesale,482600
277,2012-02-01,78725,Irrigation - Commercial,65100
278,2012-02-01,78725,Large Volume,28345500
279,2012-02-01,78725,Austin Water Utility,771900
280,2012-02-01,78725,Commercial,5322900
281,2012-02-01,78726,City of Austin,270000
282,2012-02-01,78726,Commercial,5068200
283,2012-02-01,78726,Austin Water Utility,0
284,2012-02-01,78726,Irrigation - Commercial,1745600
285,2012-02-01,78727,Irrigation - City of Austin,0
286,2012-02-01,78727,City of Austin,26400
287,2012-02-01,78727,Irrigation - Commercial,2400200
288,2012-02-01,78727,Commercial,11628900
289,2012-02-01,78728,Wholesale,31001800
290,2012-02-01,78728,Commercial,2914900
291,2012-02-01,78728,Irrigation - Commercial,1280100
292,2012-02-01,78728,Large Volume,15303000
293,2012-02-01,78729,Irrigation - Commercial,2055300
294,2012-02-01,78729,Commercial,8268600
295,2012-02-01,78729,Irrigation - City of Austin,0
296,2012-02-01,78729,Wholesale,21908000
297,2012-02-01,78729,City of Austin,12000
298,2012-02-01,78730,Irrigation - Commercial,1364200
299,2012-02-01,78730,Commercial,1812400
300,2012-02-01,78731,Austin Water Utility,0
301,2012-02-01,78731,Irrigation - City of Austin,69800
302,2012-02-01,78731,Irrigation - Commercial,1883400
303,2012-02-01,78731,Commercial,14261700
304,2012-02-01,78731,City of Austin,94800
